Date,City,Daily_Confirmed,Daily_Active,Daily_Recovered,Daily_Deaths,Cumulative_Confirmed,Cumulative_Active,Cumulative_Recovered,Cumulative_Deaths,Region,Event
03/27/2020,Al Bahah,0,0,0,0,13,13,0,0,Al Bahah,
03/27/2020,Al Qunfudhah,0,0,0,0,1,1,0,0,Makkah,
03/27/2020,Arar,0,0,0,0,2,2,0,0,Northern Borders,
03/27/2020,Bisha,0,0,0,0,14,14,0,0,Asir,
03/27/2020,Buraydah,2,2,0,0,4,4,0,0,Qassim,
03/27/2020,Dammam,4,4,0,0,72,68,4,0,Eastern Region,
03/27/2020,Dhahran,2,2,0,0,17,16,1,0,Eastern Region,
03/27/2020,Hafar Al Batin,0,0,0,0,1,1,0,0,Eastern Region,
03/27/2020,Hofuf,1,1,0,0,12,11,1,0,Eastern Region,
03/27/2020,Jazan,0,0,0,0,7,7,0,0,Jazan,
03/27/2020,Jeddah,7,7,0,0,155,151,4,0,Makkah,
03/27/2020,Jubail,0,0,0,0,1,1,0,0,Eastern Region,
03/27/2020,Khafji,0,0,0,0,1,1,0,0,Eastern Region,
03/27/2020,Khobar,1,1,0,0,13,13,0,0,Eastern Region,
03/27/2020,Mecca,0,0,0,0,181,175,5,1,Makkah,
03/27/2020,Medina,19,19,0,0,30,28,0,2,Medina,
03/27/2020,Muhayil Aseer,0,0,0,0,1,1,0,0,Asir,
03/27/2020,Nairyah,0,0,0,0,1,1,0,0,Eastern Region,
03/27/2020,Najran,0,0,0,0,13,13,0,0,Najran,
03/27/2020,Qatif,10,10,0,0,81,72,9,0,Eastern Region,
03/27/2020,Riyadh,46,44,2,0,450,439,11,0,Riyadh,
03/27/2020,Ta'if,0,0,0,0,24,24,0,0,Makkah,
03/27/2020,Tabuk,0,0,0,0,1,1,0,0,Tabuk,
03/28/2020,Abha,1,1,0,0,10,10,0,0,Asir,
03/28/2020,Al Bahah,0,0,0,0,13,13,0,0,Al Bahah,
03/28/2020,Al Qunfudhah,0,0,0,0,1,1,0,0,Makkah,
03/28/2020,Arar,0,0,0,0,2,2,0,0,Northern Borders,
03/28/2020,Bisha,0,0,0,0,14,14,0,0,Asir,
03/28/2020,Buraydah,0,0,0,0,4,4,0,0,Qassim,
03/28/2020,Dammam,0,0,0,0,72,68,4,0,Eastern Region,
03/28/2020,Dhahran,0,0,0,0,17,16,1,0,Eastern Region,
03/28/2020,Hafar Al Batin,0,0,0,0,1,1,0,0,Eastern Region,
03/28/2020,Hofuf,1,1,0,0,13,12,1,0,Eastern Region,
03/28/2020,Jazan,0,0,0,0,7,7,0,0,Jazan,
03/28/2020,Jeddah,18,18,0,0,173,169,4,0,Makkah,
03/28/2020,Jubail,0,0,0,0,1,1,0,0,Eastern Region,
03/28/2020,Khafji,0,0,0,0,1,1,0,0,Eastern Region,
03/28/2020,Khamis Mushait,3,3,0,0,3,3,0,0,Asir,
03/28/2020,Khobar,1,1,0,0,14,14,0,0,Eastern Region,
03/28/2020,Mecca,12,12,0,0,193,187,5,1,Makkah,
03/28/2020,Medina,6,6,0,0,36,34,0,2,Medina,
03/28/2020,Muhayil Aseer,0,0,0,0,1,1,0,0,Asir,
03/28/2020,Nairyah,0,0,0,0,1,1,0,0,Eastern Region,
03/28/2020,Najran,0,0,0,0,13,13,0,0,Najran,
03/28/2020,Qatif,12,12,0,0,93,84,9,0,Eastern Region,
03/28/2020,Riyadh,41,38,2,1,491,477,13,1,Riyadh,
03/28/2020,Saihat,1,1,0,0,1,1,0,0,Eastern Region,
03/28/2020,Ta'if,0,0,0,0,24,24,0,0,Makkah,
03/28/2020,Tabuk,3,3,0,0,4,4,0,0,Tabuk,
03/29/2020,Abha,0,0,0,0,10,10,0,0,Asir,Jeddah lockdown
03/29/2020,Al Bahah,0,0,0,0,13,13,0,0,Al Bahah,Jeddah lockdown
03/29/2020,Al Qunfudhah,0,0,0,0,1,1,0,0,Makkah,Jeddah lockdown
03/29/2020,Arar,0,0,0,0,2,2,0,0,Northern Borders,Jeddah lockdown
03/29/2020,Bisha,0,0,0,0,14,14,0,0,Asir,Jeddah lockdown
03/29/2020,Buraydah,0,0,0,0,4,4,0,0,Qassim,Jeddah lockdown
03/29/2020,Dammam,23,22,1,0,95,90,5,0,Eastern Region,Jeddah lockdown
03/29/2020,Dhahran,2,2,0,0,19,18,1,0,Eastern Region,Jeddah lockdown
03/29/2020,Hafar Al Batin,0,0,0,0,1,1,0,0,Eastern Region,Jeddah lockdown
03/29/2020,Hofuf,1,1,0,0,14,13,1,0,Eastern Region,Jeddah lockdown
03/29/2020,Jazan,0,0,0,0,7,7,0,0,Jazan,Jeddah lockdown
03/29/2020,Jeddah,12,9,2,1,185,178,6,1,Makkah,Jeddah lockdown
03/29/2020,Jubail,0,0,0,0,1,1,0,0,Eastern Region,Jeddah lockdown
03/29/2020,Khafji,0,0,0,0,1,1,0,0,Eastern Region,Jeddah lockdown
03/29/2020,Khamis Mushait,1,0,1,0,4,3,1,0,Asir,Jeddah lockdown
03/29/2020,Khobar,4,4,0,0,18,18,0,0,Eastern Region,Jeddah lockdown
03/29/2020,Mecca,7,-19,25,1,200,168,30,2,Makkah,Jeddah lockdown
03/29/2020,Medina,14,12,0,2,50,46,0,4,Medina,Jeddah lockdown
03/29/2020,Muhayil Aseer,0,0,0,0,1,1,0,0,Asir,Jeddah lockdown
03/29/2020,Nairyah,0,0,0,0,1,1,0,0,Eastern Region,Jeddah lockdown
03/29/2020,Najran,0,0,0,0,13,13,0,0,Najran,Jeddah lockdown
03/29/2020,Qatif,1,1,0,0,94,85,9,0,Eastern Region,Jeddah lockdown
03/29/2020,Ras Tanura,1,1,0,0,1,1,0,0,Eastern Region,Jeddah lockdown
03/29/2020,Riyadh,27,27,0,0,518,504,13,1,Riyadh,Jeddah lockdown
03/29/2020,Saihat,1,1,0,0,2,2,0,0,Eastern Region,Jeddah lockdown
03/29/2020,Ta'if,1,1,0,0,25,25,0,0,Makkah,Jeddah lockdown
03/29/2020,Tabuk,1,1,0,0,5,5,0,0,Tabuk,Jeddah lockdown
03/30/2020,Abha,0,0,0,0,10,10,0,0,Asir,"Makkah , Madinah 24 hours curfew"
03/30/2020,Al Bahah,0,0,0,0,13,13,0,0,Al Bahah,"Makkah , Madinah 24 hours curfew"
03/30/2020,Al Duwadimi,1,1,0,0,1,1,0,0,Riyadh,"Makkah , Madinah 24 hours curfew"
03/30/2020,Al Qunfudhah,0,0,0,0,1,1,0,0,Makkah,"Makkah , Madinah 24 hours curfew"
03/30/2020,Ar Rass,1,1,0,0,1,1,0,0,Qassim,"Makkah , Madinah 24 hours curfew"
03/30/2020,Arar,0,0,0,0,2,2,0,0,Northern Borders,"Makkah , Madinah 24 hours curfew"
03/30/2020,Bisha,0,0,0,0,14,14,0,0,Asir,"Makkah , Madinah 24 hours curfew"
03/30/2020,Buraydah,1,1,0,0,5,5,0,0,Qassim,"Makkah , Madinah 24 hours curfew"
03/30/2020,Dammam,34,34,0,0,129,124,5,0,Eastern Region,"Makkah , Madinah 24 hours curfew"
03/30/2020,Dhahran,1,1,0,0,20,19,1,0,Eastern Region,"Makkah , Madinah 24 hours curfew"
03/30/2020,Hafar Al Batin,0,0,0,0,1,1,0,0,Eastern Region,"Makkah , Madinah 24 hours curfew"
